Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;1;94551-99-2;305-445-7;;0,107;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;2;94551-99-2;305-445-7;0,004;;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;3;94551-99-2;305-445-7;;0,004;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;4;94551-99-2;305-445-7;0,04;;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;5;94551-99-2;305-445-7;;0,02;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;6;94551-99-2;305-445-7;;5;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;7;94551-99-2;305-445-7;;0,1;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;8;94551-99-2;305-445-7;;0,005;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;9;94551-99-2;305-445-7;0,05;0,05;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;10;94551-99-2;305-445-7;0,5;;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;11;94551-99-2;305-445-7;;0,05;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;12;94551-99-2;305-445-7;;0,2;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;13;94551-99-2;305-445-7;0,0509;;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;14;94551-99-2;305-445-7;;1;;;;;;
Abfälle, Bleibatterie Wiederverarbeitung;Abfälle Bleibatterie Wiederverarbeitung;15;94551-99-2;305-445-7;0,1052;;;;;;;
