ID;Titel;Beschreibung;Webcode;Produktklasse;Ausgangsmaterial;Medianwert;Volumenanteil;Emissionsgeprüft;Prüfdatum;Hersteller;Status
13;K4 plus/15;;PD22290943;fein;Calciumcarbonat;19.5;7.6;Ja;2021-02-23;KSL Staubtechnik GmbH;published
14;K4 plus/20;;PD22600561;mittel;Calciumcarbonat;22.2;4.6;Ja;2021-02-23;KSL Staubtechnik GmbH;published
15;K4 plus/30;;PD22428835;mittel;Calciumcarbonat;30.2;3.9;Ja;2021-02-23;KSL Staubtechnik GmbH;published
16;K4 plus/45;;PD22396078;grob;Calciumcarbonat;42.7;3.5;Ja;2021-02-23;KSL Staubtechnik GmbH;published
17;K4/15;;PD22398911;fein;Calciumcarbonat;18.1;7.3;Ja;2021-02-23;KSL Staubtechnik GmbH;published
18;K4/20;;PD22153784;mittel;Calciumcarbonat;21.9;4.8;Ja;2021-02-23;KSL Staubtechnik GmbH;published
19;K4/30;;PD22252504;mittel;Calciumcarbonat;31.1;3.9;Ja;2021-02-23;KSL Staubtechnik GmbH;published
20;K4/45;;PD22190827;grob;Calciumcarbonat;50.1;2.2;Ja;2021-02-23;KSL Staubtechnik GmbH;published
21;K4/60;;PD22872702;grob;Calciumcarbonat;67.3;1.5;Ja;2021-02-23;KSL Staubtechnik GmbH;published
22;K4/80;;PD22600347;grob;Calciumcarbonat;91.8;2.1;Ja;2021-02-23;KSL Staubtechnik GmbH;published
1;BöttcherPro Silux 20;;PD22940750;fein;Stärke;19.3;9.5;Ja;2021-03-31;Felix Böttcher GmbH & Co. KG;published
3;BöttcherPro Silux 30;;PD22360176;fein;Stärke;22.2;6.9;Ja;2021-03-31;Felix Böttcher GmbH & Co. KG;published
4;BöttcherPro Silux 35;;PD22343761;mittel;Stärke;23.0;5.8;Ja;2021-03-31;Felix Böttcher GmbH & Co. KG;published
5;ECOPOWDER C 5020;;PD22290790;fein;Stärke;21.0;5.7;Ja;2021-06-23;HI-TECH Chemicals BV;published
