A-310;Kohlenwasserstoffe, C10-C13, n-Alkane, Isoalkane,  Cyclene, <2% Aromaten@@80 - 100%|Alcohols, C11-14-iso, C13-rich@68526-86-3@2 - 5%
A-325;"Kohlenwasserstoffe, C10-C13, n-Alkane, Isoalkane,  Cyclene, <2% Aromaten@@>80%;<100%|Alcohols, C11-14-iso, C13-rich@68526-86-3@>3%;<5%"
A-360;"Hydrocarbons, C10-C13, n-alkanes, isoalkanes, cyclics,<2% aromatics@@>=80%; =<100%|alcohols, C12-13 brached and linear@740817-83-8 @>=1%; =<5%|bis(2-hydroxyethyl)oleylamine @25307-17-9 @>=0,1%; <1%"
A-410;"Kohlenwasserstoffe, C12-C15, n-Alkane, Isoalkane, Cyclene, < 2% Aromaten@@>80%|alcohols, C12-14, ethoxylated@68439-50-9@>=0,1%; <1%"
A-444;Hydrocarbons, C12-C15, n-alkanes, isoakanes, cyclics, <2% aromatics@@50-70 %|benzenesulfonic acid, c19-C13-alkyl dervis., calcium salt@@0,5-1,5 %|alcohols, C12-C14, ethoxylated@68439-50-9@0,5-1,5 %
A-1350 UV;(2-methoxymethylethoxy)propanol @34590-94-8@100%
A-1411 UV;Alcohols, C11-14-iso, C13-rich@68526-86-3@10-20%
AIII Hydrosolv;Hydrocarbons, c10-c13, n-alkanes, isoalkanes, cyclics, < 2% aromatics@64742-48-9@>=50% - <=75%|2-(2-butoxyethoxy)ethanol@112-34-5@>=25% - <=35%
Allclean 3;Hydrocarbons, C10-C13, n-alkane, isoalkane, cyclische, <0.1% Aromaten@EC 918-481-9@50 - 100%|Polyoxyethylene fatty acid@9004-96-0@< 5%
Appro HMK1 Wash;Hydrocarbons,C10-C13, n-alkanes, isoalkanes, cyclics, <2%aromatics@64742-48-9@>=90%|Hydrocarbons, C12-C15, n-alkanes, isoalkanes<2% aromatics@64742-47-8@=<3%
AWC 5000;Hydrocarbons,C12-C15,n-alkanes,isoalkanes,cyclics,<2%aromatics@@<= 50%|Aliphatischer Alkohol, ethoxyliert@68439-50-9@>= 0,1% <1%
Balkleen UV;1-Butoxy-2-propanol@5131-66-8@>=50%
BlueWash Combi 174;Hydrocarbons,C10-C13, n-alkanes, isoalkanes, cyclics, <2% aromatics@@40 - 60%|2-(2-Buthoxyethoxy)-ethanol@112-34-5@40 - 60 %
BlueWash FS 100;Hydrocarbons, C12-C15, n-alkanes, isoalkanes, cyclics, <2%aromatics@@>=50%
BlueWash FS 160;Hydrocarbons, C10-C13, n-alkanes, isoalkanes, cyclics, <2%aromatics@@>=50%
BlueWash FS 180;Hydrocarbons, C11-C14, n-alkanes, isoalkanes, cyclics, <2%aromatics@@>=50%
