ZVG-Nr.;CAS-Nr.;"verwandte
CAS-Nr.";INDEX-Nr.;EG-Nr.;"verwandte
EG-Nr.";Name;Formel;"Molmasse
[g/mol]";Linksyntax;Hyperlink
1000;7726-95-6;;035-001-00-5;231-778-1;;Brom;Br2;159,81;https://gestis.dguv.de/data?name=001000;https://gestis.dguv.de/data?name=001000
1010;7553-56-2;;053-001-00-3;231-442-4;;Iod;I2;253,80;https://gestis.dguv.de/data?name=001010;https://gestis.dguv.de/data?name=001010
1020;7446-09-5;;016-011-00-9;231-195-2;;Schwefeldioxid;SO2;64,06;https://gestis.dguv.de/data?name=001020;https://gestis.dguv.de/data?name=001020
1030;7446-11-9;;;231-197-3;;Schwefeltrioxid;SO3;80,06;https://gestis.dguv.de/data?name=001030;https://gestis.dguv.de/data?name=001030
1040;7664-39-3;;009-002-00-6;231-634-8;;Fluorwasserstoff, wasserfrei;"HF
FH";20,00;https://gestis.dguv.de/data?name=001040;https://gestis.dguv.de/data?name=001040
1050;7647-01-0;;017-002-00-2;231-595-7;;Chlorwasserstoff, wasserfrei;"HCl
ClH";36,46;https://gestis.dguv.de/data?name=001050;https://gestis.dguv.de/data?name=001050
1060;10035-10-6;;035-002-00-0;233-113-0;;Bromwasserstoff, wasserfrei;"HBr
BrH";80,91;https://gestis.dguv.de/data?name=001060;https://gestis.dguv.de/data?name=001060
1070;10034-85-2;;053-002-00-9;233-109-9;;Iodwasserstoff, wasserfrei;HI;127,91;https://gestis.dguv.de/data?name=001070;https://gestis.dguv.de/data?name=001070
1080;10102-43-9;;;233-271-0;;Stickstoffmonoxid;NO;30,01;https://gestis.dguv.de/data?name=001080;https://gestis.dguv.de/data?name=001080
1090;10102-44-0;;007-002-00-0;233-272-6;;Stickstoffdioxid;NO2;46,01;https://gestis.dguv.de/data?name=001090;https://gestis.dguv.de/data?name=001090
1100;7664-41-7;;007-001-00-5;231-635-3;;Ammoniak, wasserfrei;"NH3
H3N";17,03;https://gestis.dguv.de/data?name=001100;https://gestis.dguv.de/data?name=001100
1110;630-08-0;;006-001-00-2;211-128-3;;Kohlenmonoxid;CO;28,01;https://gestis.dguv.de/data?name=001110;https://gestis.dguv.de/data?name=001110
1120;124-38-9;463-79-6;;204-696-9;;Kohlendioxid;CO2;44,01;https://gestis.dguv.de/data?name=001120;https://gestis.dguv.de/data?name=001120
1121;124-38-9;;;204-696-9;;Kohlendioxid, tiefkalt verflüssigt;CO2;44,01;https://gestis.dguv.de/data?name=001121;https://gestis.dguv.de/data?name=001121
1122;124-38-9;;;204-696-9;;Trockeneis;CO2;44,01;https://gestis.dguv.de/data?name=001122;https://gestis.dguv.de/data?name=001122
1130;7783-06-4;;016-001-00-4;231-977-3;;Schwefelwasserstoff;H2S;34,08;https://gestis.dguv.de/data?name=001130;https://gestis.dguv.de/data?name=001130
1140;7732-18-5;;;231-791-2;;Wasser;H2O;18,02;https://gestis.dguv.de/data?name=001140;https://gestis.dguv.de/data?name=001140
1150;1305-62-0;;;215-137-3;;Calciumhydroxid;"Ca(OH)2
H2CaO2";74,09;https://gestis.dguv.de/data?name=001150;https://gestis.dguv.de/data?name=001150
1160;7664-93-9;;016-020-00-8;231-639-5;;Schwefelsäure;H2SO4;98,08;https://gestis.dguv.de/data?name=001160;https://gestis.dguv.de/data?name=001160
1170;7778-18-9;"10034-76-1
10101-41-4
13397-24-5";;231-900-3;;Calciumsulfat;"CaSO4
CaO4S";136,11;https://gestis.dguv.de/data?name=001170;https://gestis.dguv.de/data?name=001170
